sample_name,breadth_classI,breadth_classII,depth_classI,depth_classII
03855000014357_TCRB,1.6287327063488002e-05,0.00013029861650790402,-11.76041,37.638336
03855000014358_TCRB,2.4977936156395183e-05,2.4977936156395183e-05,-15.588755,-15.003792
03855000014365_TCRB,2.8849205204396618e-05,4.458513531588568e-05,-8.441402,1.7285233
03855000014375_TCRB,8.814741960027465e-05,0.00017165550132685063,28.387087,54.597984
03855000014377_TCRB,2.751349536947873e-05,3.851889351727022e-05,-12.234115,-10.234115
03855000014379_TCRB,1.6507200234402243e-05,3.507780049810477e-05,-11.233332,-0.8934822
03855000014381_TCRB,1.997159595242322e-05,3.994319190484644e-05,-9.922289,-0.9222889
03855000014388_TCRB,2.251506820939914e-05,6.754520462819742e-05,-9.958776,19.43515
03855000014397_TCRB,1.1942038123762506e-05,6.209859824356504e-05,-12.948822,8.876453
03855000014406_TCRB,2.7877845476200065e-05,6.504830611113348e-05,-8.009636,1.767973
03855000014408_TCRB,1.7545206320660578e-05,3.289726185123858e-05,-11.245653,-1.8533344
03855000014409_TCRB,2.7193694409813158e-05,4.392827558508279e-05,-5.7798767,6.5420513
03855000014427_TCRB,7.5297802810114005e-06,3.7648901405057e-05,-17.13033,-8.3754425
03855000014431_TCRB,2.1959130920338546e-05,5.9603355355204625e-05,-11.4575,1.7124233
03855000014443_TCRB,5.1260270361311674e-05,0.00016476515473278752,-6.6696186,17.62959
03855000014458_TCRB,0.0002273641080625706,0.0001268452392349078,111.98412,40.69104
03855000014465_TCRB,1.3788348845225785e-05,4.48121337469838e-05,-14.597439,-5.012476
03855000014482_TCRB,1.8576035428214768e-05,5.2012899199001353e-05,-12.086968,-2.3093605
03855000014484_TCRB,3.8481272447408926e-05,6.413545407901488e-05,-14.578188,-10.578188
03855000014486_TCRB,1.65218253312626e-05,6.0580026214629527e-05,-15.679144,-7.094181
03855000014549_TCRB,1.958141462666401e-05,4.568996746221603e-05,-12.204757,-4.7897186
03855000014559_TCRB,3.2028526741150784e-05,0.00017615689707632933,-11.271313,17.238462
03855000014586_TCRB,2.1330408020233415e-05,5.789682176920499e-05,-12.803375,3.2734413
03855000014604_TCRB,3.227115143468319e-05,0.00017979641513609206,-11.453041,24.623775
